"","X","imdb_score","movie_id","release_year","movie_title_length","aspect_ratio","colour_film","genres_length","distributor_length","actor1_length","is_Miramax","is_Nov","is_Dec","movie_id.1","comput","campus","holiday","riot","terror","escap","wish","love","movie_id","action","adventure","scifi","thriller","western","sport","horror","drama","war","crime","documentary","biography","fantasy","comedy","family"
"133",133,6.6,616,2013,11,1.85,"Color",6,18,14,0,0,0,616,0,0,0,0,0,0,0,0,616,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"134",134,5.6,624,2000,11,2.35,"Color",26,20,11,0,0,0,624,0,0,0,0,0,0,0,0,624,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"135",135,4.9,625,2002,7,2.35,"Color",36,18,14,0,0,0,625,0,0,0,0,0,0,0,0,625,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"136",136,6.1,628,2008,10,2.35,"Color",14,17,10,0,0,0,628,0,0,0,0,0,0,0,1,628,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"137",137,7.4,630,1987,11,1.85,"Color",11,21,12,0,0,1,630,0,0,0,0,0,0,0,0,630,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"138",138,4.7,633,2013,17,1.85,"Color",12,9,11,0,0,1,633,0,0,1,0,0,0,0,0,633,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"139",139,8.1,639,1993,13,1.85,"Color",22,29,11,0,0,0,639,0,0,0,0,0,0,0,0,639,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"140",140,4.8,641,2008,16,1.85,"Color",32,24,18,0,0,0,641,0,0,0,0,0,0,0,0,641,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"141",141,8,645,1990,18,2.35,"Color",23,13,14,0,1,0,645,0,0,0,0,0,0,0,0,645,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
"142",142,6.8,649,1988,10,1.85,"Color",28,24,10,0,0,0,649,0,0,0,0,0,0,0,0,649,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0
"143",143,5.4,652,2003,13,1.85,"Color",6,23,10,0,0,0,652,0,0,0,0,0,0,0,0,652,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"144",144,3.9,656,2011,10,1.85,"Color",13,17,14,0,1,0,656,0,0,0,0,0,0,0,0,656,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"145",145,7.6,657,1989,6,1.85,"Color",16,35,13,0,0,0,657,0,0,0,0,0,0,0,0,657,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"146",146,8.1,666,2001,12,2.35,"Color",21,11,15,0,0,0,666,0,0,0,0,0,0,0,0,666,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
"147",147,7.3,678,2008,11,2.35,"Black and White",21,18,12,0,0,0,678,0,0,0,0,0,0,0,0,678,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
"148",148,5.9,679,2006,6,2.35,"Color",6,16,13,0,0,0,679,0,0,0,0,0,0,0,0,679,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"149",149,5.4,680,1994,14,1.85,"Color",35,12,18,0,0,0,680,0,0,0,0,0,0,0,0,680,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0
"150",150,6.6,681,2012,16,2.35,"Color",14,11,11,0,0,0,681,0,0,0,0,0,0,0,0,681,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"151",151,7.1,686,2007,13,2.35,"Color",23,12,13,0,0,0,686,0,0,0,0,0,0,0,1,686,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
